Team1,Team2,Toss,Match days,Winner,Player of the Match,Margin,Ground,Match Date,ODI Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total CTs participated,Team1 Total CTs won,Team2 Total CTs participated,Team2 Total CTs won,Team1 W/L ratio over Team2
New Zealand,Sri Lanka,"Sri Lanka, elected to bat first",day,New Zealand,Nathan McCullum,1 wicket,Cardiff,"Jun 9, 2013",ODI # 3366,77.6,78.47,77.2,74.53,6,1,6,1,0.945
England,Australia,"England, elected to bat first",day,England,Ian Bell,48 runs,Birmingham,"Jun 8, 2013",ODI # 3365,70.87,73.87,67.67,74.4,6,0,6,2,0.686
Pakistan,West Indies,"West Indies, elected to field first",day,West Indies,Kemar Roach,2 wickets,The Oval,"Jun 7, 2013",ODI # 3364,79.4,76.47,77.73,73.27,6,0,6,1,0.787
India,South Africa,"South Africa, elected to field first",day,India,Shikhar Dhawan,26 runs,Cardiff,"Jun 6, 2013",ODI # 3363,76.2,85.67,83.07,80.27,6,1,6,1,0.6
India,Pakistan,"India, elected to field first",day,Pakistan,Fakhar Zaman,180 runs,The Oval,"Jun 18, 2017",ODI # 3894,101,71.87,101,75.93,7,2,7,0,0.708
Bangladesh,India,"India, elected to field first",day,India,Rohit Sharma,9 wickets,Birmingham,"Jun 15, 2017",ODI # 3891,72.8,101,77,101,4,0,7,2,0.192
England,Pakistan,"Pakistan, elected to field first",day,Pakistan,Hasan Ali,8 wickets,Cardiff,"Jun 14, 2017",ODI # 3889,65.13,72.8,69.8,76.53,7,0,7,0,1.633
Pakistan,Sri Lanka,"Pakistan, elected to field first",day,Pakistan,Sarfaraz Ahmed,3 wickets,Cardiff,"Jun 12, 2017",ODI # 3888,72.33,81.8,77.53,79.73,7,0,7,1,1.448
India,South Africa,"India, elected to field first",day,India,Jasprit Bumrah,8 wickets,The Oval,"Jun 11, 2017",ODI # 3886,101,74.2,101,73.8,7,2,7,1,0.622
England,Australia,"England, elected to field first",day,England,Ben Stokes,40 runs,Birmingham,"Jun 10, 2017",ODI # 3885,65.4,76.2,71.2,77.4,7,0,7,2,0.637
Bangladesh,New Zealand,"New Zealand, elected to bat first",day,Bangladesh,Shakib Al Hasan,5 wickets,Cardiff,"Jun 9, 2017",ODI # 3883,72.87,72.47,76.53,77.6,4,0,7,1,0.428
India,Sri Lanka,"Sri Lanka, elected to field first",day,Sri Lanka,Kusal Mendis,7 wickets,The Oval,"Jun 8, 2017",ODI # 3882,101,82.4,101,80,7,2,7,1,1.537
Pakistan,South Africa,"South Africa, elected to bat first",daynight,Pakistan,Hasan Ali,19 runs,Birmingham,"Jun 7, 2017",ODI # 3881,72.87,74.27,78.47,69.27,7,0,7,1,0.51
England,New Zealand,"New Zealand, elected to field first",day,England,Jake Ball,87 runs,Cardiff,"Jun 6, 2017",ODI # 3880,65.13,71.93,73,78.53,7,0,7,1,0.878
Australia,Bangladesh,"Bangladesh, elected to bat first",daynight,no result,,,The Oval,"Jun 5, 2017",ODI # 3879,76.13,72.67,78.73,76.47,7,2,4,0,18
India,Pakistan,"Pakistan, elected to field first",day,India,Yuvraj Singh,124 runs,Birmingham,"Jun 4, 2017",ODI # 3878,101,72.4,101,78.2,7,2,7,0,0.708
South Africa,Sri Lanka,"Sri Lanka, elected to field first",day,South Africa,Imran Tahir,96 runs,The Oval,"Jun 3, 2017",ODI # 3877,73.93,82.53,69.33,80.4,7,1,7,1,1.172
Australia,New Zealand,"New Zealand, elected to bat first",day,no result,,,Birmingham,"Jun 2, 2017",ODI # 3876,76.33,71.4,74.13,78.6,7,2,7,1,2.307
England,Bangladesh,"England, elected to field first",day,England,Joe Root,8 wickets,The Oval,"Jun 1, 2017",ODI # 3875,65.2,72.53,69.47,76.27,7,0,4,0,3.75
